№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
82,MOF#MIX4(82-92)(Tr=130C),130,0.5134416,15.0,0.8,14.8,4.95,1239.1,1.0334416,327.9,0.5199999999999999,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.11553592,0.0119441530142749,2413.3221725444096,0.329999999978,6133.545,0.41075328,7.366322603689005,-4.950000000336507,1.4962271064912388e-05
82,MOF#MIX4(82-92)(Tr=300C),300,0.5991308399999999,15.33333333333333,0.782608695652174,17.27,5.06,1497.7,1.12913084,349.9,0.53,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.713402050399999,0.011531014221799,2499.787855187378,0.3299999999784783,7578.362,0.4688850052173913,7.700571774794481,-5.0600000003219,1.4318808556922424e-05
82,MOF#MIX4(82-92)(Tr=350C),350,0.59635548,15.42424242424242,0.7779960707269156,17.19,5.09,1478.3,1.12635548,356.9,0.5299999999999999,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.7331493932,0.0116282216058908,2478.8906065239967,0.3299999999786052,7524.547,0.4639622201964637,7.794334468790386,-5.090000000318028,1.4150518438944573e-05
82,MOF#MIX4(82-92)(Tr=400C),400,0.56131656,15.57575757575757,0.7704280155642024,16.18,5.14,1379.4,1.13131656,373.1,0.57,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.814967118399999,0.0117297375670496,2457.4368472980086,0.3299999999788133,7090.116,0.4324540034241245,7.953149507705505,-5.140000000311677,1.3876555540887116e-05
82,MOF-82-92,200,0.560761488,15.44545454545455,0.7769276044732195,16.164,5.097,1422.915,1.084761488,326.358,0.524,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.529029304336,0.0113597790451212,2537.46918772448,0.3299999999786344,7252.597755000001,0.435671079552678,7.816376194631888,-5.0970000003171325,1.4111677704755334e-05
84,MOF#84,130,0.42567084,15.0,0.8,12.27,4.95,998.3,0.7656708400000001,288.4,0.3400000000000001,Al,BTC,ДМФА,1.0736,0.4926,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.0028629333333333,0.0023797101449275,1.203059177764414,26.08047687585648,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,3.790070658,0.0122908945206728,2345.2393348220908,0.329999999978,4941.585,0.340536672,7.366322603689005,-4.950000000336507,1.4962271064912388e-05
85,MOF#85,130,0.54882744,15.45454545454545,0.7764705882352941,15.82,5.1,1427.1,1.12882744,0.0,0.58,Fe,BDC,ДМФА,0.808,0.4982,130,130,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,404,164,0.002,0.0030378048780487,0.6583699157513727,29.7029702602686,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,5.757019944,0.0110854179805121,2600.2708563546475,0.3299999999786471,7278.209999999999,0.4261483651764706,7.8258417195697,-5.100000000316747,1.4095080613918498e-05
89,MOF#89,140,0.40485564,16.09090909090909,0.7457627118644068,11.67,5.31,932.9,0.6848556400000001,288.3,0.2800000000000001,Al,BTC,ДМФА,1.0745,0.492,130,150,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.0028653333333333,0.0023768115942028,1.2055360781586013,26.05863189757224,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,3.6365834484,0.0125093793546869,2304.2781315723346,0.3299999999794915,4953.699,0.30192624,8.517723054440738,-5.310000000291018,1.3002260836357718e-05
90,MOF#90(Zn),140,0.14640024,31.81818181818182,0.3771428571428572,4.22,10.5,299.9,0.18640024,9.7,0.04,Zn,BDC,ДМФА,0.8911,0.4988,140,150,24.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000005,80.25999999999999,4,0,297,164,0.0030003367003367,0.0030414634146341,0.9864776605310396,26.93300412194703,65.409,0.88,1.65,73.095,-0.2956000000000001,0.0,1.0,1.95720252,0.0140713571189927,2048.493895580404,0.3299999999896285,3148.95,0.0552138048,69.12303051442555,-10.50000000003586,3.3252884060598105e-06
91,MOF#91,140,0.37224516,16.36363636363636,0.7333333333333334,10.73,5.4,805.2,0.92224516,131.8,0.55,Fe,BTC,ДМФА,1.212,0.63,140,150,36.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,404,207,0.003,0.0030434782608695,0.9857139618368412,29.7029702725223,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.980123864,0.0133258817684881,2163.0905767503045,0.3299999999798334,4348.080000000001,0.272979784,8.832664011281105,-5.4000000002806425,1.257246388093375e-05
