№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
205,MOF#205(Al),130,0.5297468399999999,25.15151515151515,0.4771084337349397,15.27,8.3,1274.0,1.699,270.9,1.169,Al,BDC,ДМФА,0.754,0.499,130,130,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.0020106666666666667,0.0030426829268292684,0.6608200900978729,37.13527846533783,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,14.101700000000001,0.011985871271576149,2404.922316469274,0.32999999998687957,10574.2,0.2527466851084337,28.456271739327384,-8.300000000087111,5.321716457658231e-06
206,MOF#206(Al),130,0.5016463200000001,25.90909090909091,0.4631578947368421,14.46,8.55,1210.1,0.7816463200000001,142.9,0.28,Al,BDC,ДМФА,0.7546,0.499,130,130,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.0020122666666666667,0.0030426829268292684,0.6613459416284547,37.10575134229293,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,6.683076036000002,0.01194942566729035,2412.257300298231,0.32999999998726315,10346.355,0.23234145347368426,31.47592788250689,-8.550000000078752,5.015054844472872e-06
207,MOF#207(Fe),130,0.38889732,16.36363636363636,0.7333333333333334,11.21,5.4,1021.3,0.5988973200000001,54.1,0.2100000000000001,Fe,BTC,ДМФА,1.2128,0.6324,130,130,24.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,404,207,0.0030019801980198024,0.0030550724637681157,0.9826212801826283,19.788918189488026,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,3.2340455280000007,0.010976206795250196,2626.1430584655527,0.3299999999798334,5515.02,0.285191368,8.832664011281105,-5.4000000002806425,1.257246388093375e-05
208,MOF#208(Al),130,0.5162169600000001,25.03030303030303,0.4794188861985473,14.88,8.26,1251.8,0.85621696,185.2,0.34,Al,BDC,ДМФА,0.7554,0.4995,130,130,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.0020144,0.0030457317073170733,0.6613843674333608,37.06645480928455,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,7.0723520896,0.011886882888630863,2424.9493809251258,0.32999999998681595,10339.867999999999,0.24748416000000006,28.00076602926681,-8.260000000088526,5.373383304822024e-06
209,MOF#209(Fe),130,0.58074408,15.81818181818182,0.7586206896551725,16.74,5.22,1674.3,1.151,136.115,0.57,Fe,NH2-BDC,ДМФА,0.8088,0.5433,130,130,24.0,1,4,1,1,8,4,1,179.13099999999997,-2.0042,106.28,5,1,404,179,0.002001980198019802,0.003035195530726257,0.6595883257486366,29.673590467762626,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,6.00822,0.009998208206408649,2883.0255094756617,0.32999999997913787,8739.846,0.44056447448275865,8.214011756757436,-5.22000000030178,1.3454479777455681e-05
210,MOF#210(Zn),130,0.08568924,21.42424242424243,0.56011315417256,2.47,7.07,197.8,0.15568924,32.2,0.0699999999999999,Zn,BTB,ДМФА,0.3556,0.3501,130,130,64.0,1,6,4,0,27,6,0,435.4110000000002,1.7781000000000005,120.38999999999999,6,0,297,435,0.0011973063973063974,0.0008048275862068966,1.4876539151637524,179.977502306025,65.409,0.88,1.65,73.095,-0.2956000000000001,0.0,1.0,1.1007229268,0.012487360970614321,2308.341137016256,0.32999999998459684,1398.4460000000001,0.0479956704950495,17.32524289643093,-7.070000000143076,7.334475947097228e-06
211,MOF#211(Al),130,0.5176046400000001,24.42424242424243,0.4913151364764268,14.92,8.06,1252.1,1.746,269.184,1.229,Al,BDC,ДМФА,0.7548,0.499,130,130,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.0020128,0.0030426829268292684,0.661521225471982,37.095919399713935,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,14.07276,0.011915981151655687,2419.027769111521,0.32999999998648877,10091.926,0.25430699434243176,25.83030171017765,-8.060000000095966,5.643361001669749e-06
212,MOF#212(Al),130,0.5418890399999999,25.57575757575757,0.4691943127962085,15.62,8.44,1304.5,1.833,260.301,1.291,Al,BDC,ДМФА,0.7549,0.4994,130,130,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.0020130666666666667,0.0030451219512195125,0.6610789445662524,37.091005382049275,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,15.470519999999999,0.01197393637408051,2407.3193980684327,0.3299999999870972,11009.98,0.2542512557345971,30.109691307848816,-8.440000000082327,5.146630898453496e-06
213,MOF#213(Al),140,0.5110131600000001,27.18181818181818,0.4414715719063545,14.73,8.97,1232.4,1.523,253.924,1.012,Al,BDC,ДМФА,0.7565,0.498,140,140,28.0,1,4,1,0,8,4,0,164.11599999999996,-1.5864000000000003,80.25999999999999,4,0,375,164,0.0020173333333333332,0.0030365853658536586,0.66434248537048,37.01255778319557,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,13.66131,0.011952288218101305,2411.6795692469454,0.32999999998785956,11054.628000000002,0.22559778301003347,37.28751597212866,-8.970000000066479,4.5564124533541405e-06
215,MOF#215(Fe),130,0.4457922,15.72727272727273,0.7630057803468208,12.85,5.19,1263.0,0.912,117.146,0.467,Fe,BTC,ДМФА,1.2129,0.6306,130,130,40.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,404,207,0.0030022277227722775,0.0030463768115942032,0.9855073495303521,32.97881108666929,55.845,0.8525,1.83,73.095,-0.2956000000000001,0.0,1.0,4.733280000000001,0.010174188440213639,2833.1585818837593,0.3299999999790173,6554.97,0.340142025433526,8.115200514577431,-5.190000000305454,1.3610472442856338e-05
