№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio
540,MOF-540-280La-BTC,280,0.352366644,33.62727272727273,0.3568532035685321,10.157,11.097,830.0,0.371366644,0.065,0.019,La,BTC,ДМФА,1.4616,0.649,150,130,72.0,1
540,MOF-540-320La-BTC,300,0.409434984,23.71212121212121,0.5060702875399361,11.802,7.825,840.0,0.409434984,0.0,0.0,La,BTC,ДМФА,1.4616,0.649,150,130,72.0,1
540,MOF-540La-BTC,320,0.352436028,34.43333333333333,0.3484995159728945,10.159,11.363,830.0,0.371436028,0.064,0.0189999999999999,La,BTC,ДМФА,1.4616,0.649,150,130,72.0,1
544,MOF-544,250,0.357813288,34.2060606060606,0.3508150248051028,10.314,11.288,840.631,0.368813288,35.607,0.011,La,BTC,ДМФА,1.4585,0.6474,150,120,72.0,1
544,MOF-544La-BTC,300,0.409434984,23.71212121212121,0.5060702875399361,11.802,7.825,840.631,0.409434984,0.0,0.0,La,BTC,ДМФА,1.4585,0.6474,150,120,72.0,1
547,MOF-547Y-BTC,300,0.396980556,27.73333333333333,0.4326923076923077,11.443,9.152,844.933,0.396980556,7.25,0.0,Y,BTC,ДМФА/Вода,1.2703,0.3262,110,130,60.0,1
548,MOF-548La-BTC,300,0.35247072,31.55757575757575,0.3802573458805454,10.16,10.414,854.636,0.35247072,0.0,0.0,La,BTC,ДМФА,1.4588,0.6474,110,130,72.0,1
549,MOF-549La-BTC,300,0.3235029,33.53636363636364,0.3578205475738682,9.325,11.067,759.542,0.3235029,0.0,0.0,La,BTC,ДМФА,1.4563,0.6462,150,150,72.0,1
554,MOF-554La-BTC,300,0.34917498,25.25151515151515,0.4752190087603504,10.065,8.333,770.133,0.34917498,0.83,0.0,La,BTC,ДМФА,1.4585,0.6468,150,130,72.0,1
555,MOF-555+MOF-544La-BTC,300,0.35351148,35.03333333333333,0.3425309229305424,10.19,11.561,830.0,0.35351148,0.0,0.0,La,BTC,ДМФА,1.4583,0.6464,150,130,72.0,1
