№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio
104,MOF#104,140,0.27510756,20.81818181818182,0.5764192139737991,7.93,6.87,548.1,0.31510756,16.5,0.04,Zn,BTB,ДМФА,0.207,0.087,140,140,32.0,1
105,MOF#105,140,0.6966153599999999,14.21212121212121,0.8443496801705757,20.08,4.69,1729.5,1.48661536,174.1,0.7900000000000001,Fe,BDC,ДМФА,0.8085,0.4981,140,140,24.0,1
106,MOF#106,140,0.33963468,14.24242424242424,0.8425531914893617,9.79,4.7,852.4,0.6696346799999999,82.7,0.3299999999999999,Fe,BDC,ДМФА,0.8082,0.4983,140,140,24.0,1
107,MOF#107,140,0.06140484,13.66666666666667,0.8780487804878049,1.77,4.51,149.0,0.77140484,125.0,0.71,Al,NH2-BDC,ДМФА,0.7504,0.5436,140,140,28.0,1
108,MOF#108,130,0.25186392,16.48484848484848,0.7279411764705882,7.26,5.44,571.0,0.50186392,0.0,0.25,Fe,BTC,ДМФА,1.213,0.63,130,130,32.0,1
109,MOF#109,130,0.13495188,15.57575757575757,0.7704280155642024,3.89,5.14,313.8,0.60495188,0.0,0.47,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
110,MOF#110,130,0.1856022,17.48484848484848,0.6863084922010398,5.35,5.77,468.8,0.4556022,0.0,0.27,Fe,BDC,ДМФА,0.8084,0.4983,130,130,24.0,1
111,MOF#111,130,0.53495064,14.75757575757576,0.813141683778234,15.42,4.87,1223.1,0.96495064,0.0,0.43,Fe,BDC,ДМФА,0.8081,0.498,130,130,24.0,1
112,MOF#112,130,0.65671956,13.6969696969697,0.8761061946902656,18.93,4.52,1710.8,1.13671956,136.4,0.48,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
112,MOF-112,200,0.365410836,14.8969696969697,0.80553295362083,10.533,4.916,958.736,0.567410836,37.06,0.202,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
114,MOF#114,130,0.7895899200000001,13.78787878787879,0.8703296703296703,22.76,4.55,1978.5,1.24958992,124.1,0.46,Fe,BDC,ДМФА,0.808,0.498,130,140,24.0,1
115,MOF#115,130,0.2029482,17.78787878787879,0.6746166950596252,5.85,5.87,483.7,0.6629482,149.8,0.46,Fe,BDC,ДМФА,0.809,0.499,130,140,24.0,1
116,MOF#116,140,0.47944344,15.27272727272727,0.7857142857142858,13.82,5.04,1148.0,1.01944344,89.9,0.54,Fe,BDC,ДМФА,0.808,0.498,140,140,24.0,1
117,MOF#117,140,0.27267912,17.27272727272727,0.6947368421052631,7.86,5.7,638.3,0.40267912,70.7,0.13,Fe,BDC,ДМФА,0.808,0.498,140,140,24.0,1
118,MOF#118,140,0.27129144,16.06060606060606,0.7471698113207548,7.82,5.3,669.3,0.89129144,160.0,0.6200000000000001,Fe,BDC,ДМФА,0.808,0.499,140,140,24.0,1
119,MOF#119,140,0.2497824,16.12121212121212,0.7443609022556391,7.2,5.32,567.6,0.3097824,16.5,0.06,Fe,BDC,ДМФА,0.807,0.499,140,140,24.0,1
121,MOF#121,140,0.24006864,17.54545454545454,0.683937823834197,6.92,5.79,567.3,0.43006864,83.1,0.19,Fe,BDC,ДМФА,0.808,0.498,140,140,24.0,1
122,MOF#122,140,0.30841188,16.81818181818182,0.7135135135135136,8.89,5.55,699.7,0.4084118800000001,48.6,0.1000000000000001,Fe,BDC,ДМФА,0.808,0.498,140,140,24.0,1
123,MOF#123,140,0.18178608,16.87878787878788,0.7109515260323159,5.24,5.57,416.9,0.27178608,50.1,0.09,Fe,BDC,ДМФА,0.8087,0.499,140,140,24.0,1
124,MOF#124,140,0.28308672,16.21212121212121,0.7401869158878506,8.16,5.35,674.7,0.4530867200000001,98.7,0.1700000000000001,Fe,BDC,ДМФА,0.8089,0.499,140,140,24.0,1
125,MOF#125,140,0.3399816000000001,16.54545454545454,0.7252747252747254,9.8,5.46,838.8,0.4599816,71.7,0.1199999999999999,Fe,BDC,ДМФА,0.808,0.498,140,140,24.0,1
126,MOF#126,140,0.26920992,17.84848484848485,0.6723259762308998,7.76,5.89,574.8,0.33920992,49.0,0.07,Fe,BDC,ДМФА,0.808,0.498,140,140,24.0,1
128,MOF#128,140,0.5065032,14.6969696969697,0.8164948453608248,14.6,4.85,1215.2,1.1765032,120.8,0.6699999999999999,Fe,BDC,ДМФА,0.809,0.499,140,140,24.0,1
132,MOF#132,130,0.22341648,18.48484848484848,0.6491803278688525,6.44,6.1,535.4,0.35341648,43.7,0.13,Fe,BDC,ДМФА,0.807,0.499,130,130,24.0,1
133,MOF#133,130,0.8468317200000001,13.39393939393939,0.8959276018099548,24.41,4.42,2335.8,1.29683172,89.6,0.4499999999999998,Fe,BDC,ДМФА,0.805,0.499,130,130,24.0,1
134,MOF#134,130,0.75940788,14.12121212121212,0.8497854077253219,21.89,4.66,1987.6,1.12940788,80.9,0.37,Fe,BDC,ДМФА,0.805,0.498,130,130,24.0,1
135,MOF#135,130,0.91968492,13.21212121212121,0.908256880733945,26.51,4.36,2555.6,1.46968492,104.4,0.5499999999999999,Fe,BDC,ДМФА,0.8087,0.499,130,130,24.0,1
136,MOF#136,130,0.54882744,15.45454545454545,0.7764705882352941,15.82,5.1,1416.5,0.77882744,32.5,0.23,Fe,BDC,ДМФА,0.809,0.499,130,130,24.0,1
137,MOF#137,130,0.38646888,15.78787878787879,0.7600767754318618,11.14,5.21,1014.1,0.61646888,58.4,0.23,Fe,BDC,ДМФА,0.8092,0.5,130,130,24.0,1
138,MOF#138,130,0.29731044,14.54545454545454,0.8250000000000001,8.57,4.8,791.0,0.50731044,57.0,0.21,Fe,BDC,ДМФА,0.8083,0.498,130,130,24.0,1
139,MOF#139,130,0.5595819599999999,14.78787878787879,0.8114754098360656,16.13,4.88,1428.5,0.8195819599999999,65.6,0.26,Fe,BDC,ДМФА,0.8076,0.498,130,130,24.0,1
142,MOF#142,130,0.2185596,15.24242424242424,0.7872763419483102,6.3,5.03,570.0,0.3885596,33.3,0.17,Fe,BDC,ДМФА,0.808,0.498,130,130,24.0,1
143,MOF#143,130,0.38057124,15.06060606060606,0.7967806841046279,10.97,4.97,951.7,0.53057124,31.49,0.15,Fe,BDC,ДМФА,0.8075,0.498,130,130,24.0,1
144,MOF#144,130,0.6386797200000001,14.27272727272727,0.8407643312101911,18.41,4.71,1699.7,0.90867972,48.4,0.27,Fe,BDC,ДМФА,0.8094,0.498,130,130,24.0,1
144,MOF-144,200,0.161005572,20.46666666666667,0.5863192182410424,4.641,6.754,384.126,0.231005572,36.61,0.0699999999999999,Fe,BDC,ДМФА,0.8094,0.498,130,130,24.0,1
146,MOF#146,130,0.27510756,16.66666666666666,0.7200000000000001,7.93,5.5,694.9,0.4251075599999999,34.8,0.1499999999999999,Fe,BDC,ДМФА/Этанол,0.8192,0.5074,130,130,24.0,1
147,MOF#147(Fe),130,0.2237634,17.24242424242424,0.6959578207381371,6.45,5.69,603.0,0.3137634,14.7,0.09,Fe,BDC,ДМФА/Вода,0.8062,0.5006,130,130,24.0,1
148,MOF#148,130,0.4787496000000001,14.21212121212121,0.8443496801705757,13.8,4.69,1285.2,0.6587496,14.688,0.1799999999999999,Fe,BDC,ДМФА,1.6167,0.993,130,130,48.0,1
149,MOF#149,130,0.8280980400000001,13.39393939393939,0.8959276018099548,23.87,4.42,2240.1,1.29809804,110.2,0.4699999999999999,Fe,BDC,ДМФА,0.8089,0.4985,130,130,24.0,1
150,MOF#150,130,0.83677104,9.515151515151516,1.261146496815287,24.12,3.14,1700.2,0.93677104,0.0,0.0999999999999999,Fe,BDC,ДМФА,0.8081,0.499,130,130,24.0,1
153,MOF#153^^,130,0.123,24.0,0.494,3.545,8.167,313.231,0.196,11.784,0.073,Fe,BDC,ДМФА,0.808,0.4985,130,130,24.0,1
154,MOF#154,130,0.7935795,13.54545454545454,0.8859060402684565,22.875,4.47,2086.6,1.2035795,90.6,0.41,Fe,BDC,ДМФА,0.803,0.4947,130,130,24.0,1
155,MOF#155,130,0.7580202,14.54545454545454,0.8250000000000001,21.85,4.8,2001.7,1.0780202,31.4,0.3200000000000001,Fe,BDC,ДМФА,0.8084,0.4983,130,130,24.0,1
156,MOF#156,130,0.51205392,16.21212121212121,0.7401869158878506,14.76,5.35,1331.2,0.76205392,37.613,0.25,Fe,BDC,ДМФА,0.805,0.494,130,130,24.0,1
158,MOF#158,130,0.75906096,13.66666666666667,0.8780487804878049,21.88,4.51,1972.3,1.06906096,46.0,0.3100000000000001,Fe,BDC,ДМФА,0.8082,0.499,130,130,24.0,1
159,MOF#159,130,0.971376,13.09090909090909,0.9166666666666666,28.0,4.32,2746.2,1.451376,60.25,0.48,Fe,BDC,ДМФА,0.8073,0.4986,130,130,24.0,1
160,MOF#160,130,0.30043272,14.24242424242424,0.8425531914893617,8.66,4.7,798.7,0.43043272,0.0,0.13,Fe,BDC,ДМФА,0.8073,0.4986,130,130,24.0,1
160,MOF-160,140,0.836701656,9.515151515151516,1.261146496815287,24.118,3.14,1700.211,0.935701656,22.716,0.0989999999999999,Fe,BDC,ДМФА,0.8073,0.4986,130,130,24.0,1
161,MOF#161,130,0.58907016,14.03030303030303,0.8552915766738661,16.98,4.63,1541.3,0.7890701600000001,15.7,0.2000000000000001,Fe,BDC,ДМФА,0.8085,0.4997,130,130,24.0,1
162,MOF#162,130,0.25047624,16.21212121212121,0.7401869158878506,7.22,5.35,647.3,0.35047624,0.0,0.0999999999999999,Fe,BDC,ДМФА,0.808,0.4987,130,130,24.0,1
163,MOF#163,130,0.4735458,14.81818181818182,0.8098159509202455,13.65,4.89,1235.0,0.6235458,0.0,0.15,Fe,BDC,ДМФА,0.8081,0.499,130,130,24.0,1
164,MOF#164(Al),130,0.35247072,15.90909090909091,0.7542857142857143,10.16,5.25,945.2,0.5324707200000001,7.15,0.18,Al,BTC,ДМФА,1.1253,0.6303,130,130,24.0,1
165,MOF#165,130,0.30633036,14.60606060606061,0.8215767634854773,8.83,4.82,814.2,0.45633036,20.748,0.15,Fe,BDC,ДМФА,0.8087,0.4985,130,130,24.0,1
167,MOF#167,200,0.2549862,37.96969696969697,0.3160415003990423,7.35,12.53,601.1,0.2649862,0.907,0.01,Al,BTC,Вода,6.9658,1.3636,200,100,10.0,1
168,MOF#168(Fe),130,0.2896782,15.18181818181818,0.7904191616766468,8.35,5.01,807.3,0.4496782,24.5,0.16,Fe,BDC,ДМФА,0.808,0.4986,130,130,24.0,1
170,MOF#170,130,0.61092612,14.90909090909091,0.8048780487804879,17.61,4.92,1598.2,0.90092612,50.0,0.29,Fe,BDC,ДМФА,0.8081,0.4987,130,130,24.0,1
172,MOF#172,130,0.54154212,13.87878787878788,0.8646288209606987,15.61,4.58,1495.9,0.78154212,17.02,0.24,Fe,BDC,ДМФА,0.8087,0.498,130,130,24.0,1
173,MOF#173(Fe),130,0.42220164,14.45454545454545,0.8301886792452831,12.17,4.77,1229.2,0.61220164,7.31,0.19,Fe,BDC,ДМФА,0.808,0.4994,130,130,24.0,1
174,MOF#174,130,0.5640919200000001,14.81818181818182,0.8098159509202455,16.26,4.89,1461.1,0.7340919200000001,24.3,0.17,Fe,BDC,ДМФА,0.8088,0.498,130,130,24.0,1
175,MOF#175,130,0.74032728,14.18181818181818,0.8461538461538463,21.34,4.68,1958.5,1.05032728,40.5,0.3100000000000001,Fe,BDC,ДМФА,0.8083,0.498,130,130,24.0,1
176,MOF#176(Fe),130,0.30424884,19.03030303030303,0.6305732484076433,8.77,6.28,747.0,0.3942488399999999,39.8,0.0899999999999998,Fe,BDC,ДМФА,0.8091,0.4985,130,130,24.0,1
177,MOF#177,110,0.37710204,33.6060606060606,0.3570784490532011,10.87,11.09,851.0,0.38710204,0.25,0.0099999999999999,Cu,BTC,ДМФА,4.0051,2.0002,110,130,48.0,1
177,MOF-177(CuBTC),200,0.676806228,41.02121212121212,0.2925315801137623,19.509,13.537,1653.209,0.717806228,7.932,0.041,Cu,BTC,ДМФА,4.0051,2.0002,110,130,48.0,1
178,MOF#178,130,0.61682376,14.36363636363636,0.8354430379746836,17.78,4.74,1661.1,0.8068237600000001,11.8,0.1900000000000001,Fe,BDC,ДМФА,0.8084,0.4952,130,130,24.0,1
179,MOF#179,130,1.0719828,12.60606060606061,0.951923076923077,30.9,4.16,3036.4,1.5219828,22.0,0.45,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
179,MOF-179-160C(09-2020),160,0.84370944,13.93939393939394,0.8608695652173914,24.32,4.6,2774.0,1.44370944,48.0,0.5999999999999999,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
179,MOF-179-180C(09-2020),180,0.66018876,13.90909090909091,0.8627450980392157,19.03,4.59,1723.0,0.8101887600000001,22.0,0.15,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
179,MOF-179-200C(09-2020),200,0.6685148399999999,13.84848484848485,0.8665207877461706,19.27,4.57,1743.0,0.81851484,23.0,0.15,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
180,MOF#180,130,1.0130064,12.90909090909091,0.9295774647887324,29.2,4.26,2863.8,1.4430064,22.3,0.4299999999999999,Fe,BDC,ДМФА,0.8085,0.498,130,130,24.0,1
181,MOF#181,130,0.73651116,13.57575757575758,0.8839285714285714,21.23,4.48,2020.8,1.10651116,69.0,0.3699999999999999,Fe,BDC,ДМФА,0.8081,0.4986,130,130,24.0,1
183,MOF#183(Fe),130,0.46070976,15.48484848484848,0.7749510763209394,13.28,5.11,1301.6,1.31070976,296.0,0.8499999999999999,Fe,BTC,ДМФА,1.215,0.63,130,130,24.0,1
184,MOF#184(Fe),130,0.59531472,15.6969696969697,0.7644787644787645,17.16,5.18,1654.3,0.98531472,86.3,0.39,Fe,NH2-BDC,ДМФА,0.808,0.5436,130,130,24.0,1
186,MOF#186(Zn),110,0.67406556,18.0,0.6666666666666666,19.43,5.94,1547.5,0.71406556,5.93,0.04,Zn,BTB,ДМФА,0.3567,0.3507,110,110,64.0,1
187,MOF#187(Zn),90,0.48256572,19.51515151515152,0.6149068322981366,13.91,6.44,1120.7,0.51256572,16.06,0.03,Zn,BTB,ДМФА,0.266,0.2618,90,110,56.0,1
189,MOF#189(Cu),120,0.36218448,34.78787878787879,0.3449477351916376,10.44,11.48,861.8,0.38218448,9.28,0.02,Cu,BTC,ДМФА,4.0023,2.0035,120,120,48.0,1
190,MOF-190(Zn)^^,110,0.6563726400000001,21.18181818181818,0.5665236051502146,18.92,6.99,1516.0,0.6563726400000001,7.1,0.0,Zn,BTB,ДМФА,0.356,0.3505,110,130,64.0,1
191,MOF#191(Ti),150,0.13113576,17.90909090909091,0.6700507614213198,3.78,5.91,347.8,0.28113576,71.7,0.15,Ti,NH2-BDC,ДМФА,0.89,1.086,150,150,30.0,1
193,MOF#193(Ti),150,0.16756236,14.87878787878788,0.8065173116089613,4.83,4.91,467.02,0.55756236,153.5,0.39,Ti,NH2-BDC,ДМФА,0.89,1.0853,150,150,50.0,1
194,MOF#194(Cu),130,0.3243702,34.57575757575758,0.3470639789658194,9.35,11.41,771.02,0.3443702,0.22,0.02,Cu,BTC,ДМФА,4.0023,2.0036,110,110,48.0,1
194,MOF-194-200,200,0.64492428,24.15151515151515,0.4968632371392723,18.59,7.97,1473.0,0.67492428,22.0,0.03,Cu,BTC,ДМФА,4.0023,2.0036,110,110,48.0,1
194,MOF-CuBTC-194(220C),220,0.6577603200000001,32.06060606060606,0.3742911153119092,18.96,10.58,1600.0,0.71776032,21.0,0.0599999999999999,Cu,BTC,ДМФА,4.0023,2.0036,110,110,48.0,1
194,MOF-CuBTC-194(230C),230,0.65082192,49.78787878787878,0.2410225197808886,18.76,16.43,1640.0,0.7208219200000001,78.0,0.07,Cu,BTC,ДМФА,4.0023,2.0036,110,110,48.0,1
194,MOF-CuBTC-194(4iz9)(120C),120,0.54709284,30.48484848484848,0.3936381709741551,15.77,10.06,1300.0,0.60709284,30.0,0.0599999999999999,Cu,BTC,ДМФА,4.0023,2.0036,110,110,48.0,1
194,MOF194,110,0.3244048920000001,34.56363636363636,0.3471856917411889,9.351,11.406,771.018,0.3394048920000001,0.216,0.015,Cu,BTC,ДМФА,4.0023,2.0036,110,110,48.0,1
195,MOF#195(Fe)^^,130,0.35073612,16.18181818181818,0.7415730337078652,10.11,5.34,901.2,0.62073612,100.0,0.27,Fe,BTC,ДМФА,1.218,0.6335,130,130,24.0,1
196,MOF#196(Zn),110,0.64076124,20.15151515151515,0.5954887218045113,18.47,6.65,1495.2,0.67076124,23.25,0.03,Zn,BTB,ДМФА,0.3566,0.3498,110,110,64.0,1
197,MOF#197(Ti),150,0.17137848,19.63636363636364,0.611111111111111,4.94,6.48,440.0,0.34137848,58.3,0.17,Ti,NH2-BDC,ДМФА,0.89,1.086,150,150,40.0,1
197,MOF-197(Ti),140,0.171482556,19.62424242424242,0.6114885731933292,4.943,6.476,440.004,0.342482556,58.281,0.171,Ti,NH2-BDC,ДМФА,0.89,1.086,150,150,40.0,1
198,MOF#198(Ti),150,0.1786638,17.51515151515152,0.6851211072664359,5.15,5.78,468.7,0.592,166.256,0.414,Ti,NH2-BDC,ДМФА,0.89,1.085,150,150,30.0,1
200,MOF#200(Al),130,0.4024272,24.24242424242424,0.495,11.6,8.0,982.98,0.6924272,168.8,0.29,Al,BDC,ДМФА,0.751,0.4995,130,130,28.0,1
201,MOF#201(Fe),130,0.35281764,16.09090909090909,0.7457627118644068,10.17,5.31,975.4,0.6328176400000001,70.9,0.2800000000000001,Fe,BTC,ДМФА,1.212,0.63,130,130,24.0,1
201,MOF-201-150(Fe),150,0.47458656,13.57575757575758,0.8839285714285714,13.68,4.48,1122.0,0.62458656,63.0,0.15,Fe,BTC,ДМФА,1.212,0.63,130,130,24.0,1
201,MOF-201-180(Fe),180,0.5026870800000001,13.90909090909091,0.8627450980392157,14.49,4.59,1198.0,0.68268708,62.0,0.1799999999999999,Fe,BTC,ДМФА,1.212,0.63,130,130,24.0,1
201,MOF-201-200(Fe),200,0.48360648,23.18181818181818,0.5176470588235293,13.94,7.65,1144.0,0.64360648,62.0,0.16,Fe,BTC,ДМФА,1.212,0.63,130,130,24.0,1
201,MOF-201-220(Fe),220,0.49054488,14.60606060606061,0.8215767634854773,14.14,4.82,1192.0,0.68054488,60.0,0.19,Fe,BTC,ДМФА,1.212,0.63,130,130,24.0,1
201,MOF-201-250(Fe),250,0.48603492,14.54545454545454,0.8250000000000001,14.01,4.8,1179.0,0.65603492,59.0,0.17,Fe,BTC,ДМФА,1.212,0.63,130,130,24.0,1
204,MOF#204(Zn),130,0.3850812,20.42424242424243,0.5875370919881305,11.1,6.74,896.2,0.5950812,119.4,0.21,Zn,BTB,ДМФА,0.3565,0.3498,130,130,64.0,1
205,MOF#205(Al),130,0.5297468399999999,25.15151515151515,0.4771084337349397,15.27,8.3,1274.0,1.699,270.9,1.169,Al,BDC,ДМФА,0.754,0.499,130,130,28.0,1
206,MOF#206(Al),130,0.5016463200000001,25.90909090909091,0.4631578947368421,14.46,8.55,1210.1,0.7816463200000001,142.9,0.28,Al,BDC,ДМФА,0.7546,0.499,130,130,28.0,1
207,MOF#207(Fe),130,0.38889732,16.36363636363636,0.7333333333333334,11.21,5.4,1021.3,0.5988973200000001,54.1,0.2100000000000001,Fe,BTC,ДМФА,1.2128,0.6324,130,130,24.0,1
208,MOF#208(Al),130,0.5162169600000001,25.03030303030303,0.4794188861985473,14.88,8.26,1251.8,0.85621696,185.2,0.34,Al,BDC,ДМФА,0.7554,0.4995,130,130,28.0,1
209,MOF#209(Fe),130,0.58074408,15.81818181818182,0.7586206896551725,16.74,5.22,1674.3,1.151,136.115,0.57,Fe,NH2-BDC,ДМФА,0.8088,0.5433,130,130,24.0,1
210,MOF#210(Zn),130,0.08568924,21.42424242424243,0.56011315417256,2.47,7.07,197.8,0.15568924,32.2,0.0699999999999999,Zn,BTB,ДМФА,0.3556,0.3501,130,130,64.0,1
211,MOF#211(Al),130,0.5176046400000001,24.42424242424243,0.4913151364764268,14.92,8.06,1252.1,1.746,269.184,1.229,Al,BDC,ДМФА,0.7548,0.499,130,130,28.0,1
212,MOF#212(Al),130,0.5418890399999999,25.57575757575757,0.4691943127962085,15.62,8.44,1304.5,1.833,260.301,1.291,Al,BDC,ДМФА,0.7549,0.4994,130,130,28.0,1
213,MOF#213(Al),140,0.5110131600000001,27.18181818181818,0.4414715719063545,14.73,8.97,1232.4,1.523,253.924,1.012,Al,BDC,ДМФА,0.7565,0.498,140,140,28.0,1
215,MOF#215(Fe),130,0.4457922,15.72727272727273,0.7630057803468208,12.85,5.19,1263.0,0.912,117.146,0.467,Fe,BTC,ДМФА,1.2129,0.6306,130,130,40.0,1
216,MOF#216(Zn),130,0.07354704,18.48484848484848,0.6491803278688525,2.12,6.1,168.4,0.10354704,14.2,0.03,Zn,BTB,ДМФА,0.3566,0.3508,130,130,64.0,1
217,MOF#217(Ti),150,0.182133,17.57575757575757,0.6827586206896552,5.25,5.8,483.7,1.199,289.933,1.016,Ti,BDC,ДМФА,2.556,2.493,150,150,50.0,1
218,MOF#218(Fe),130,0.09991296,16.84848484848485,0.7122302158273381,2.88,5.56,241.4,0.23991296,0.0,0.14,Fe,NH2-BDC,ДМФА,0.8074,0.5434,130,130,24.0,1
219,MOF#219(Fe),130,0.5516028000000001,15.66666666666667,0.7659574468085106,15.9,5.17,1596.8,1.0116028,87.3,0.4599999999999999,Fe,NH2-BDC,ДМФА,0.8081,0.5436,130,130,24.0,1
221,MOF#221(Ti),130,0.0964437599999999,18.3030303030303,0.6556291390728478,2.78,6.04,254.9,0.37644376,120.7,0.28,Ti,BDC,ДМФА,1.136,2.4896,130,130,50.0,1
222,MOF-222(Zn)^^,110,0.07007784,26.54545454545454,0.452054794520548,2.02,8.76,169.0,0.08007784,10.0,0.0099999999999999,Zn,BTB,ДМФА,0.3566,0.349,110,110,64.0,1
225,MOF-225^^,110,0.06695556,25.45454545454545,0.4714285714285715,1.93,8.4,164.0,0.11695556,31.0,0.05,Zn,BTB,ДМФА,0.3562,0.349,110,130,64.0,1
226,MOF-226(Al),130,0.49019796,15.81818181818182,0.7586206896551725,14.13,5.22,1409.2,1.11019796,396.8,0.6200000000000001,Al,BTC,ДМФА,1.0743,0.4926,130,130,28.0,1
227,MOF-227(Al),130,0.4561998,16.12121212121212,0.7443609022556391,13.15,5.32,1304.3,0.9861998,369.7,0.53,Al,BTC,ДМФА,1.0746,0.492,130,130,28.0,1
228,MOF-228(Al),130,0.48985104,16.24242424242424,0.7388059701492538,14.12,5.36,1391.7,0.8898510399999999,272.5,0.3999999999999999,Al,BTC,ДМФА,1.0749,0.4929,130,130,28.0,1
230,MOF-230(Al)^^,130,0.44301684,23.57575757575757,0.5089974293059126,12.77,7.78,1069.0,1.35301684,334.0,0.91,Al,BDC,ДМФА,0.756,2.4985,120,120,28.0,1
231,MOF-231(Al),120,0.47736192,24.57575757575757,0.4882860665844637,13.76,8.11,1167.2,1.26736192,307.5,0.7899999999999999,Al,BDC,ДМФА,0.756,2.4985,120,120,28.0,1
236,MOF-236(Al),130,0.47077044,22.66666666666667,0.5294117647058824,13.57,7.48,1123.6,1.39077044,233.9,0.92,Al,BDC,ДМФА,2.5023,1.661,130,130,50.0,1
236,MOF-236Al-BTC,150,0.37328592,16.27272727272727,0.7374301675977654,10.76,5.37,1080.0,0.62,2.18,0.247,Al,BDC,ДМФА,2.5023,1.661,130,130,50.0,1
237,MOF#237(Zr),95,0.0589764,15.12121212121212,0.7935871743486974,1.7,4.99,178.6,0.4789764,154.0,0.42,Zr,BTC,ДМФА,1.2582,1.0003,95,95,36.0,1
240,MOF#240(Cu-BTC),120,0.32992092,35.84848484848484,0.3347421808960271,9.51,11.83,791.6,0.35992092,16.31,0.0299999999999999,Cu,BTC,ДМФА,4.0045,2.0077,120,120,48.0,1
242,MOF#242(Zr-BDC),110,0.35142996,19.84848484848485,0.6045801526717558,10.13,6.55,811.6,0.45142996,33.04,0.1,Zr,BDC,ДМФА,0.1083,0.0698,110,110,26.0,1
243,MOF-243(Zr),120,0.28898436,19.96969696969697,0.6009104704097117,8.33,6.59,672.8,0.35898436,27.7,0.07,Zr,BDC,ДМФА,0.1603,0.1024,120,120,26.0,1
244,MOF-244(Cu),120,0.3108403200000001,34.93939393939394,0.3434518647007806,8.96,11.53,741.9,0.3408403200000001,15.96,0.0299999999999999,Cu,BTC,ДМФА,4.0031,2.008,120,120,48.0,1
245,MOF#245(Cu),120,0.3677352,38.21212121212121,0.3140364789849326,10.6,12.61,878.1,0.3977352,15.9,0.03,Cu,BTC,ДМФА,4.0025,2.0038,120,120,48.0,1
246,MOF-246(Zr),120,0.35316456,18.21212121212121,0.658901830282862,10.18,6.01,830.4,0.53316456,57.6,0.18,Zr,BDC,ДМФА,0.1079,0.0723,120,130,26.0,1
248,MOF-248(Zr-BDC),120,0.3087588,19.84848484848485,0.6045801526717558,8.9,6.55,731.5,0.4187588,37.1,0.11,Zr,BDC,ДМФА,0.1075,0.0681,120,110,28.0,1
252,MOF-252(Cu),110,0.29731044,33.63636363636363,0.3567567567567568,8.57,11.1,715.0,0.32731044,14.2,0.0299999999999999,Cu,BTC,ДМФА,4.0042,2.0002,110,110,48.0,1
253,MOF-253(Al)^^,130,0.52488996,15.72727272727273,0.7630057803468208,15.13,5.19,1527.3,1.74488996,439.1,1.22,Al,BTC,ДМФА,1.0742,0.4911,130,130,28.0,1
253,MOF-253(AlBTC)-150C,150,0.492175404,16.22727272727273,0.7394957983193278,14.187,5.355,1479.525,1.668175404,472.382,1.176,Al,BTC,ДМФА,1.0742,0.4911,130,130,28.0,1
254,MOF#254(Fe),130,0.23278332,15.51515151515152,0.7734375,6.71,5.12,629.6,0.96278332,201.6,0.73,Fe,BDC,ДМФА,0.8087,0.4984,103,130,24.0,1
255,MOF-255(Zn)^^,110,0.58074408,14.84848484848485,0.8081632653061224,16.74,4.9,1162.8,0.58074408,7.4,0.0,Zn,BTB,ДМФА,0.3562,0.3509,110,110,64.0,1
256,MOF-256(Zn)^^,110,0.09817836,25.84848484848484,0.4642438452520516,2.83,8.53,238.7,0.10817836,6.4,0.0099999999999999,Zn,BTB,ДМФА,0.3567,0.3495,110,110,64.0,1
257,MOF#257(Cu)^^,110,0.30286116,34.36363636363636,0.3492063492063492,8.73,11.34,723.7,0.34286116,13.7,0.0399999999999999,Cu,BTC,ДМФА,4.0059,2.0059,110,110,48.0,1
258,MOF#258(Cu)^^,110,0.30216732,35.57575757575758,0.3373083475298126,8.71,11.74,723.5,0.34216732,15.2,0.0399999999999999,Cu,BTC,ДМФА,4.1588,2.0002,110,110,40.0,1
259,MOF-259(Cu)^^,110,0.3080649600000001,35.21212121212121,0.3407917383820999,8.88,11.62,737.8,0.3380649600000001,11.5,0.0299999999999999,Cu,BTC,ДМФА,4.0039,2.0058,110,110,48.0,1
260,MOF-260(Cu)^^,110,0.29696352,34.39393939393939,0.3488986784140969,8.56,11.35,710.3,0.3169635200000001,11.0,0.0200000000000001,Cu,BTC,ДМФА,4.0064,2.006,110,110,48.0,1
262,MOF#262(Cu)^^,110,0.3174318,34.75757575757576,0.3452484742807324,9.15,11.47,758.5,0.3474318000000001,13.1,0.0300000000000001,Cu,BTC,ДМФА,4.0021,2.0093,110,110,48.0,1
