№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
4,MOF#4,120,0.20051976,30.0,0.4,5.78,9.9,470.0,0.21051976,33.7,0.01,Cu,BTC,ДМФА,1.485,0.5025,120,25,48.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,242,207,0.0061363636363636,0.002427536231884,2.527814426805347,32.32323230146584,63.546,0.82,1.9,73.095,-0.2956000000000001,0.0,1.0,2.084145624,0.0122978723403993,2343.9086385106957,0.329999999989,4653.0,0.080207904,54.262708701619566,-9.900000000045685,3.740567766228852e-06
6,MOF#6,120,0.29002512,31.81818181818182,0.3771428571428572,8.36,10.5,625.4,0.29002512,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.0042,0.4213,120,120,24.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,242,207,0.0041495867768595,0.002035265700483,2.0388417772838108,23.89962156552517,63.546,0.82,1.9,45.726333333333336,-0.3739,0.3333333333333333,0.6666666666666666,3.04526376,0.013367444835284,2156.364930884728,0.3299999999896285,6566.7,0.1093809024,69.12303051442555,-10.50000000003586,3.3252884060598105e-06
7,MOF#7,120,0.30251424,29.39393939393939,0.4082474226804124,8.72,9.7,616.8,0.30251424,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.0028,0.4276,120,120,24.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,242,207,0.0041438016528925,0.0020657004830917,2.006002167694836,23.932987610756893,63.546,0.82,1.9,45.726333333333336,-0.3739,0.3333333333333333,0.6666666666666666,2.934388128,0.0141374837872663,2038.9122771909435,0.3299999999887732,5982.959999999999,0.1235006588041237,50.05656402075994,-9.70000000004952,3.8964081918172846e-06
8,MOF#8,120,0.28482132,30.3030303030303,0.396,8.21,10.0,605.7,0.28482132,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.5145,0.5753,120,120,36.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,242,207,0.0062582644628099,0.00277922705314,2.25179954402772,23.770221179418805,63.546,0.82,1.9,45.726333333333336,-0.3739,0.3333333333333333,0.6666666666666666,2.8482132,0.0135545649661324,2126.5964144587338,0.32999999998911,6057.0,0.11278924272,56.496518508537534,-10.000000000043876,3.6661304676809057e-06
11,MOF#11,130,0.30771804,30.0,0.4,8.87,9.9,654.8,0.30771804,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,2.0084,0.8426,130,130,48.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,242,207,0.008299173553719,0.0040705314009661,2.038842278162216,23.899621577425005,63.546,0.82,1.9,45.726333333333336,-0.3739,0.3333333333333333,0.6666666666666666,3.0464085960000005,0.013546120952942,2127.922034964469,0.329999999989,6482.52,0.123087216,54.262708701619566,-9.900000000045685,3.740567766228852e-06
